   118/799     9.22G   0.02356   0.01574  0.001211   0.04051        39       640    0.2257    0.4187    0.1731   0.09194   0.04225   0.05988   0.01264
   119/799     9.22G    0.0228   0.01626  0.001138    0.0402        81       640    0.2292    0.4391    0.2068    0.1137   0.04175   0.06047   0.01147
   120/799     9.22G   0.02345   0.01676  0.001205   0.04141        51       640    0.2398    0.4369    0.1886    0.0998    0.0408   0.06096   0.01292
   121/799     9.22G   0.02384   0.01563  0.001199   0.04067        59       640     0.228    0.4318    0.1771   0.09304   0.04186   0.05982   0.01377
   122/799     9.22G   0.02363   0.01639  0.001316   0.04133        38       640    0.2294    0.4211    0.1646    0.0831   0.04292   0.06064   0.01375
   123/799     9.22G   0.02287   0.01647  0.001241   0.04058        32       640     0.225    0.4205    0.1705   0.08926   0.04235   0.06188   0.01339
   124/799     9.22G   0.02355   0.01566  0.001136   0.04034        39       640    0.2354    0.4356    0.1556   0.07804   0.04239   0.06092    0.0138
   125/799     9.22G   0.02311   0.01604  0.001105   0.04026        56       640    0.2339    0.4335    0.1667   0.08658   0.04231   0.06065   0.01234
   126/799     9.22G   0.02313   0.01634  0.001029    0.0405        43       640    0.2289    0.4147    0.1703   0.08843   0.04288   0.05968   0.01243
   127/799     9.22G   0.02302   0.01562  0.001048   0.03969        53       640     0.233    0.4156    0.1822   0.09978   0.04262   0.06046   0.01269
   128/799     9.22G   0.02314   0.01623  0.001203   0.04058        38       640    0.2321    0.4177     0.173   0.08939    0.0425   0.06233   0.01305
   129/799     9.22G   0.02206   0.01627   0.00123   0.03956        44       640    0.2174    0.4095    0.1771   0.09591    0.0429   0.06361   0.01297
   130/799     9.22G   0.02188   0.01534  0.001252   0.03848        41       640    0.2196    0.3891    0.1606   0.08736   0.04332   0.06316   0.01239
   131/799     9.22G    0.0231   0.01572  0.001133   0.03996        49       640    0.2291    0.4086    0.1786   0.09714   0.04255   0.06222   0.01347
   132/799     9.22G   0.02297   0.01503  0.001208    0.0392        85       640    0.2203    0.4074    0.1778   0.09609   0.04211   0.06171   0.01182
   133/799     9.22G   0.02248   0.01679  0.001069   0.04035        59       640    0.2288    0.4332    0.1821     0.102     0.041   0.06058   0.01117
   134/799     9.22G   0.02251   0.01643  0.001257   0.04019        56       640     0.222    0.4231    0.1824   0.09779   0.04162   0.06148   0.01145
   135/799     9.22G   0.02271   0.01563   0.00121   0.03955        79       640    0.2196    0.3992    0.1709   0.09245   0.04297   0.06222   0.01267
   136/799     9.22G   0.02244   0.01635   0.00122   0.04001        67       640     0.212    0.4163     0.176   0.09392   0.04202   0.06024   0.01322
   137/799     9.22G   0.02279   0.01602   0.00112   0.03993        61       640    0.2217    0.4062    0.1638   0.08326   0.04243   0.06104   0.01298
   138/799     9.22G   0.02285   0.01548  0.001121   0.03945        40       640    0.2309    0.4196    0.1734   0.09258   0.04253   0.05992   0.01341
   139/799     9.22G   0.02229   0.01618  0.001058   0.03953        72       640    0.2143    0.4101    0.1828    0.1006   0.04216   0.06187   0.01266
   140/799     9.22G   0.02155   0.01572  0.001074   0.03835        49       640    0.2107    0.3906    0.1728   0.09286    0.0426   0.06427   0.01303
   141/799     9.22G   0.02307   0.01593  0.001118   0.04012        43       640    0.2072    0.4063    0.1867    0.1014   0.04301   0.06154   0.01372
   142/799     9.22G   0.02172    0.0156  0.001247   0.03857        55       640    0.2149    0.3864     0.171   0.09326   0.04285   0.06356   0.01328
   143/799     9.22G   0.02188   0.01519  0.001072   0.03814        60       640    0.2161    0.3947    0.1854    0.1008   0.04185    0.0631   0.01289
   144/799     9.22G   0.02235   0.01583  0.001069   0.03925        50       640    0.2326    0.4159    0.1795   0.09848   0.04131   0.06179   0.01265
   145/799     9.22G   0.02169   0.01599  0.001143   0.03883        64       640    0.2255    0.4102    0.1724   0.08869   0.04229    0.0628   0.01207
   146/799     9.22G   0.02265    0.0158  0.001318   0.03977        72       640    0.2294    0.4039    0.1656   0.08584   0.04183   0.06261   0.01261
   147/799     9.22G    0.0216   0.01541  0.001181   0.03819        54       640    0.2365    0.4183    0.1766   0.09376   0.04251   0.06321   0.01338
   148/799     9.22G   0.02132   0.01501  0.001112   0.03743        62       640    0.2303    0.4144    0.1674   0.08931   0.04233   0.06333   0.01268
   149/799     9.22G   0.02175   0.01503  0.001104   0.03788        48       640    0.2253    0.3861    0.1566   0.08193   0.04261   0.06081   0.01182
   150/799     9.22G   0.02196   0.01537  0.001119   0.03845        59       640    0.2269    0.3894    0.1619   0.08345   0.04299   0.06272    0.0124
   151/799     9.22G   0.02129   0.01563   0.00102   0.03795        69       640    0.2278    0.3906    0.1704   0.09162   0.04299   0.06274   0.01359
   152/799     9.22G   0.02148   0.01468   0.00105    0.0372        59       640    0.2242    0.3899     0.168   0.09129   0.04277   0.06364   0.01343
   153/799     9.22G   0.02231   0.01585  0.001034   0.03919        55       640    0.2314    0.4123    0.1791   0.09626    0.0423   0.06146   0.01375
   154/799     9.22G   0.02129   0.01538  0.001021   0.03769        57       640    0.2229       0.4    0.1651   0.08544   0.04313   0.06348   0.01486
   155/799     9.22G   0.02052   0.01536  0.001031   0.03692        75       640     0.228    0.4004    0.1663   0.08574   0.04235   0.06383    0.0137
   156/799     9.22G   0.02162   0.01544  0.001014   0.03807        30       640    0.2271    0.4145    0.1656   0.08824   0.04218   0.06222   0.01276
   157/799     9.22G   0.02247   0.01523  0.001136   0.03883        68       640    0.2249    0.4093    0.1686   0.08988   0.04196   0.06266   0.01247
   158/799     9.22G   0.02078   0.01513  0.001108   0.03702        72       640    0.2281    0.4162    0.1731   0.09232   0.04261    0.0643   0.01275
   159/799     9.22G     0.021   0.01485   0.00136   0.03721        51       640    0.2288    0.4116    0.1646    0.0842   0.04326     0.063   0.01283
   160/799     9.22G   0.02091   0.01578  0.001105   0.03779        63       640    0.2301    0.4042     0.166   0.08735   0.04311   0.06433   0.01341
   161/799     9.22G   0.02183   0.01476  0.001043   0.03763        79       640    0.2285      0.41    0.1706    0.0914   0.04251   0.06297   0.01351
   162/799     9.22G   0.02024   0.01495 0.0009843   0.03617        55       640    0.2268    0.4096    0.1549   0.07879   0.04186    0.0648    0.0128
   163/799     9.22G   0.02118   0.01541  0.001171   0.03776        61       640    0.2253     0.393    0.1703   0.08958   0.04193   0.06412   0.01278
   164/799     9.22G   0.02094   0.01542  0.001023   0.03739        40       640    0.2277    0.3862    0.1675   0.08612   0.04312   0.06434   0.01338
   165/799     9.22G   0.02056   0.01516  0.001034   0.03676        56       640    0.2219    0.3846    0.1656   0.08708   0.04235   0.06455   0.01352
   166/799     9.22G   0.02084   0.01496  0.001056   0.03686        64       640    0.2152    0.3723    0.1545   0.08268   0.04257   0.06623   0.01324
   167/799     9.22G   0.02113   0.01533  0.001028   0.03749        52       640    0.2233    0.4045    0.1644   0.08778   0.04189   0.06391   0.01191
   168/799     9.22G   0.02048   0.01448 0.0009763   0.03593        43       640    0.2173    0.3819    0.1479   0.07642   0.04265   0.06554   0.01343
   169/799     9.22G   0.02052   0.01524  0.001233     0.037        59       640     0.223     0.407    0.1594   0.08591   0.04221   0.06489   0.01144
   170/799     9.22G   0.02094   0.01476  0.001242   0.03694        46       640    0.2257    0.3823    0.1547   0.08385   0.04294   0.06626   0.01312
   171/799     9.22G   0.02078   0.01497  0.001066   0.03682        74       640    0.2324    0.4087    0.1656   0.08736    0.0428   0.06356   0.01381
   172/799     9.22G   0.02014   0.01481  0.001128   0.03608        32       640    0.2265    0.4289    0.1829   0.09616   0.04159   0.06552   0.01277
   173/799     9.22G   0.02074    0.0148   0.00103   0.03657        73       640    0.2204     0.426    0.1776   0.09535   0.04267   0.06364   0.01322
   174/799     9.22G   0.02088   0.01522 0.0009953    0.0371        85       640    0.2212    0.4059    0.1744   0.09282   0.04283   0.06341   0.01193
   175/799     9.22G   0.02027   0.01476  0.001087   0.03612        63       640    0.2181    0.3929    0.1665   0.08542   0.04254   0.06539   0.01271
   176/799     9.22G    0.0199   0.01461   0.00105   0.03556        50       640     0.217    0.4051    0.1639   0.08237   0.04269   0.06453   0.01212
   177/799     9.22G   0.01959   0.01479 0.0009501   0.03533        58       640    0.2237    0.4014    0.1633   0.08538   0.04352    0.0639   0.01151
   178/799     9.22G   0.02064   0.01436 0.0009894     0.036        43       640    0.2285    0.4155    0.1761   0.09369   0.04244   0.06381   0.01122
   179/799     9.22G   0.02128   0.01454  0.001063   0.03688        39       640    0.2345    0.4104    0.1677   0.09054   0.04201   0.06367   0.01206
   180/799     9.22G   0.02047   0.01443  0.001357   0.03626        62       640    0.2285    0.4131      0.18   0.09424   0.04189   0.06345   0.01127
   181/799     9.22G   0.01991   0.01466  0.001022   0.03559        64       640    0.2298    0.4223    0.1749    0.0906   0.04192   0.06433   0.01151
   182/799     9.22G    0.0198   0.01438  0.001004   0.03518        55       640    0.2277    0.4123    0.1674   0.08768    0.0429   0.06347   0.01239
   183/799     9.22G   0.02057   0.01466  0.001119   0.03635        46       640    0.2279    0.4162    0.1728   0.09178   0.04189   0.06242   0.01266
   184/799     9.22G   0.02046   0.01459 0.0009822   0.03604        78       640     0.225    0.4062    0.1551   0.08152   0.04276   0.06497   0.01245
   185/799     9.22G   0.01985    0.0147  0.001036   0.03559        94       640    0.2191    0.3989    0.1601   0.08381   0.04268   0.06706   0.01223
   186/799     9.22G    0.0198   0.01464  0.001078   0.03552        55       640    0.2153    0.3969    0.1666   0.08839   0.04262   0.06592   0.01274
   187/799     9.22G   0.02022   0.01434  0.001068   0.03562        47       640    0.2339    0.4316    0.1738    0.0923   0.04175   0.06421   0.01138
   188/799     9.22G    0.0201   0.01411 0.0009993   0.03521        44       640     0.228    0.3971    0.1677   0.08875    0.0427   0.06481   0.01122
   189/799     9.22G   0.02018   0.01407  0.001023   0.03527        38       640    0.2419    0.4196    0.1774   0.09041   0.04252   0.06397   0.01126
   190/799     9.22G   0.01991   0.01383 0.0008937   0.03464        43       640    0.2304    0.4033    0.1703   0.09003   0.04336   0.06469   0.01212
   191/799     9.22G   0.01989   0.01426 0.0009804   0.03513        54       640    0.2296    0.3921    0.1539   0.08144   0.04368    0.0653   0.01306
   192/799     9.22G   0.01995   0.01447 0.0009246   0.03534        81       640    0.2225    0.3887    0.1619   0.08515   0.04261   0.06599   0.01273
   193/799     9.22G   0.01915   0.01322  0.001027    0.0334        46       640    0.2308    0.3863    0.1502   0.07982   0.04315   0.06687   0.01362
   194/799     9.22G   0.01882   0.01396  0.001055   0.03384        51       640    0.2377    0.4132    0.1622   0.08291    0.0405   0.06573   0.01143
